origen,producto,category
Sinaloa,Cazón sin cabeza,pescado
Baja California,Lisa del Pacífico,pescado
Baja California,Huachinango Pacífico,pescado
Sonora,Pargo,pescado
Baja California,Robalo,pescado
Sinaloa,Sierra del Pacífico,pescado
No especificado,Pargo Habanero,pescado
Yucatán,Pargo,pescado
Chiapas,Huachinango Pacífico,pescado
Sonora,Robalo,pescado
Tamaulipas,Robalo,pescado
No especificado,Cazón con cabeza,pescado
No especificado,Huachinango Pacífico,pescado
No especificado,Lisa del Pacífico,pescado
Oaxaca,Huachinango Pacífico,pescado
Oaxaca,Lisa del Pacífico,pescado
Oaxaca,Sierra del Pacífico,pescado
Oaxaca,Pargo Habanero,pescado
Chiapas,Bandera,pescado
Chiapas,Besugo,pescado
Chiapas,Cazón con cabeza,pescado
Chiapas,Huachinango Golfo,pescado
Chiapas,Lebrancha,pescado
Chiapas,Mojarra Marina,pescado
Chiapas,Robalo,pescado
Campeche,Trucha marina,pescado
Chiapas,Trucha marina,pescado
Chiapas,Sierra del Golfo,pescado
Chiapas,Pargo Habanero,pescado
Chiapas,Lisa del Golfo,pescado
No especificado,Pargo,pescado
Sinaloa,Atún,pescado
Sinaloa,Bandera,pescado
Sonora,Cazón con cabeza,pescado
Guerrero,Cazón sin cabeza,pescado
Sonora,Cazón tripa,pescado
Guerrero,Huachinango Pacífico,pescado
Guerrero,Jurel,pescado
Sinaloa,Mojarra Marina,pescado
Sinaloa,Pampano,pescado
Guerrero,Sierra del Pacífico,pescado
Guerrero,Tiburón sin cabeza,pescado
Sinaloa,Lisa del Pacífico,pescado
Sinaloa,Pargo Huachinango,pescado
Sinaloa,Cazón tripa,pescado
Baja California,Conejo,pescado
Sinaloa,Pargo,pescado
Sinaloa,Jurel,pescado
Nayarit,Huachinango Pacífico,pescado
Baja California,Jurel,pescado
Baja California,Mojarra Marina,pescado
Baja California,Cazón con cabeza,pescado
Baja California,Pargo,pescado
Jalisco,Huachinango Pacífico,pescado
Baja California,Tiburón sin cabeza,pescado
Baja California,Sierra del Pacífico,pescado
Sinaloa,Conejo,pescado
Tamaulipas,Camarón coctel,crustaceos
Tamaulipas,Camarón mediano c/cabeza,crustaceos
Tamaulipas,Camarón mediano s/cabeza,crustaceos
No especificado,Cola de langosta,crustaceos
No especificado,Langosta,crustaceos
No especificado,Langosta entera cocida,crustaceos
Tamaulipas,Camarón grande c/cabeza,crustaceos
Sinaloa,Jaiba entera,crustaceos
Tamaulipas,Camarón chico c/cabeza,crustaceos
Sonora,Jaiba entera,crustaceos
Sinaloa,Camarón chico c/cabeza,crustaceos
Tamaulipas,Camarón grande s/cabeza,crustaceos
Tabasco,Langostino,crustaceos
Tamaulipas,Camarón chico s/cabeza,crustaceos
Tabasco,Acamaya cruda,crustaceos
Tamaulipas,Camarón Pacotilla,crustaceos
Tamaulipas,Camarón roca,crustaceos
Yucatán,Jaiba entera,crustaceos
Sonora,Camarón chico c/cabeza,crustaceos
Campeche,Jaiba entera,crustaceos
Sinaloa,Camarón coctel,crustaceos
Yucatán,Camarón chico c/cabeza,crustaceos
Yucatán,Camarón chico s/cabeza,crustaceos
Sinaloa,Camarón chico s/cabeza,crustaceos
Tamaulipas,Camarón Macuil,crustaceos
Sinaloa,Camarón mediano s/cabeza,crustaceos
Sinaloa,Camarón grande s/cabeza,crustaceos
Tamaulipas,Langostino,crustaceos
