origen,producto,category
Veracruz,Caracol chico,moluscos
Veracruz,Pulpo s/vísceras,moluscos
Sinaloa,Angelito,filetes
Sonora,Filete de tilapia,filetes
Sonora,Pulpo congelado,moluscos
Sonora,Filete de mero,filetes
Yucatán,Lenguado,filetes
Yucatán,Lisa,filetes
Michoacán,Huachinango grande,pescado
Aguascalientes,Cherna aleta amarilla,pescado
Aguascalientes,Bonito,pescado
Aguascalientes,Cazón con cabeza,pescado
Aguascalientes,Chucumite,pescado
Aguascalientes,Pargo,pescado
Aguascalientes,Jurel,pescado
Aguascalientes,Robalo,pescado
Aguascalientes,Mojarra plateada,pescado
Aguascalientes,Medregal,pescado
Aguascalientes,Sargo,pescado
Veracruz,Langosta entera cocida,crustaceos
Veracruz,Langosta entera cruda,crustaceos
Veracruz,Curbina,pescado
Veracruz,Sardina,pescado
Yucatán,Pulpo s/vísceras,moluscos
Baja California,Almeja casco,moluscos
Sonora,Calamar americano,moluscos
Importación,Ancas de rana,moluscos
Sinaloa,Pulpo congelado,moluscos
Michoacán,Filete de cazón o tiburón,filetes
Campeche,Cazón tripa,filetes
Sonora,Lisa,filetes
Distrito Federal,Bagre,filetes
Veracruz,Callo de almeja,moluscos
Distrito Federal,Calamar americano,moluscos
Yucatán,Pulpo c/vísceras,moluscos
Importación,Calamar gigante,moluscos
No especificado,Calamar gigante,moluscos
Baja California,Ostión con concha,moluscos
Importación,Calamar,filetes
Baja California Sur,Mojarra rayada,filetes
Campeche,Filete de tilapia,filetes
Tamaulipas,Pargo Huachinango,pescado
Yucatán,Aleta de raya,pescado
Oaxaca,Aleta de raya,pescado
Oaxaca,Cazón tripa,pescado
Tabasco,Pargo Habanero,pescado
Baja California Sur,Trucha marina,pescado
Veracruz,Pargo blanco,pescado
Colima,Langosta entera cocida,crustaceos
Veracruz,Camarón s/cabeza coctelero de mar,crustaceos
Michoacán,Langosta entera cruda,crustaceos
Yucatán,Camaron p/bar y bot,crustaceos
Aguascalientes,Camarón c/cabeza mediana,crustaceos
Veracruz,Ancas de rana,moluscos
Veracruz,Pulpo c/vísceras,moluscos
Aguascalientes,Ostión sin concha,moluscos
Sinaloa,Cazón con cabeza,pescado
Baja California,Aleta de raya,pescado
Sinaloa,Vaqueta,pescado
Sinaloa,Tiburón Majarro sin cabeza,pescado
Nacional,Camarón Pacotilla,crustaceos
Baja California Sur,Camarones botalon,crustaceos
Baja California Sur,Camarones U10,crustaceos
Baja California Sur,Camarones U12,crustaceos
Baja California,Atún,pescado
Baja California,Pargo Huachinango,pescado
Guanajuato,Cazón sin cabeza,pescado
No especificado,Camarón mediano c/cabeza,crustaceos
Yucatán,Camarón mediano c/cabeza,crustaceos
Distrito Federal,Langosta,crustaceos
Baja California,Jaiba en pulpa,crustaceos
Sonora,Tiburón Majarro sin cabeza,pescado
Veracruz,Ratón,pescado
Veracruz,Huachinango grande,pescado
Veracruz,Huachinango Pacífico,pescado
Veracruz,Sierra del Pacífico,pescado
Colima,Langostino,crustaceos
Colima,Pulpo fresco,moluscos
Guerrero,Cazón tripa,pescado
Guerrero,Guitarra,pescado
Yucatán,Ancas de rana,moluscos
Sinaloa,Filete de huachinango,filetes
Sinaloa,Filete de mero,filetes
Baja California,Bacoca,pescado
No especificado,Huachinango Golfo,pescado
Baja California,Huachinango Golfo,pescado
Sonora,Bandera,pescado
Tamaulipas,Robalo chico,pescado
Campeche,Huachinango Pacífico,pescado
Guerrero,Pierna,pescado
Guerrero,Curbina,pescado
Sonora,Lucero,pescado
Sonora,Pargo blanco,pescado
Campeche,Langosta,crustaceos
Campeche,Calamar gigante,moluscos
Sonora,Mojarra blanca,filetes
Sonora,Robalo,filetes
Oaxaca,Filete de carpa,pescado
Baja California Sur,Ancas de rana,filetes
Baja California,Camarón chico s/cabeza,crustaceos
Baja California,Camarón grande s/cabeza,crustaceos
Baja California,Camarón mediano s/cabeza,crustaceos
Michoacán,Langosta,crustaceos
Campeche,Camarón grande c/cabeza,crustaceos
Baja California,Calamar gigante,moluscos
Baja California,Pulpo fresco,moluscos
Baja California,Filete de cazón o tiburón,filetes
Baja California,Filete de mero,filetes
Tamaulipas,Curbina,pescado
Tamaulipas,Chucumite,pescado
Michoacán,Bandera,pescado
Baja California Sur,Filete de tilapia,filetes
Veracruz,Filete de huachinango,filetes
Veracruz,Chacal,crustaceos
Oaxaca,Robalo del pacífico,pescado
Michoacán,Sierra del Pacífico,pescado
Michoacán,Pargo,pescado
Michoacán,Robalo,pescado
Nayarit,Lisa del Pacífico,pescado
San Luis Potosí,Lisa macho,pescado
Sinaloa,Marlín,pescado
Nayarit,Bandera,pescado
San Luis Potosí,Tiburón sin cabeza,pescado
Nayarit,Lisa macho,pescado
Yucatán,Ostión sin concha,moluscos
Sinaloa,Trucha,filetes
Jalisco,Filete de carpa,filetes
Importación,Tiburón Majarro sin cabeza,pescado
Michoacán,Huachinango Golfo,pescado
Nayarit,Pierna,pescado
Colima,Huachinango grande,pescado
Sonora,Mojarra plateada,pescado
Nayarit,Pulpo fresco,moluscos
Campeche,Rubia o Biajaiba,pescado
Nayarit,Camarones botalon,crustaceos
Baja California Sur,Pargo coconaco,pescado
Baja California,Camarones botalon,crustaceos
Importación,Lisa,filetes
Campeche,Abadejo,pescado
Campeche,Camarón chico s/cabeza,crustaceos
Campeche,Camarón roca,crustaceos
Campeche,Jaiba en pulpa,crustaceos
Tabasco,Camarón grande c/cabeza,crustaceos
Nayarit,Langostino,crustaceos
Nayarit,Langosta entera cruda,crustaceos
Sonora,Caracol,moluscos
Nayarit,Caracol chico,moluscos
Campeche,Medregal,filetes
Campeche,Calamar,filetes
Campeche,Cherna aleta amarilla,filetes
Yucatán,Mojarra blanca,pescado
Jalisco,Pampano,pescado
Chiapas,Sierra del Pacífico,pescado
Colima,Cazón sin cabeza,pescado
Colima,Atún,pescado
Yucatán,Camarones botalon,crustaceos
Sonora,Curbina,pescado
Colima,Langosta entera cruda,crustaceos
Yucatán,Almeja chocolata,moluscos
Nayarit,Cóndor,pescado
Nayarit,Robalo chico,pescado
Chiapas,Lenguado grande,pescado
Yucatán,Tiburón sin cabeza,pescado
Baja California Sur,Angelito,pescado
Guerrero,Acamaya cruda,crustaceos
Veracruz,Lucero,pescado
Michoacán,Cazón sin cabeza,pescado
Chiapas,Lenguado chico,pescado
Chiapas,Jurel,pescado
Tabasco,Tiburón Majarro sin cabeza,pescado
Chiapas,Tiburón sin cabeza,pescado
Tabasco,Lebrancha,pescado
Jalisco,Vaqueta,pescado
Sinaloa,Huachinango Golfo,pescado
Colima,Bandera,pescado
Coahuila,Huachinango Pacífico,pescado
Importación,Langostino,crustaceos
Sinaloa,Chano,pescado
Nayarit,Pargo coconaco,pescado
Nayarit,Cintilla,pescado
Sinaloa,Camarones 51/60,crustaceos
Colima,Camarón coctel,crustaceos
Colima,Camarón chico c/cabeza,crustaceos
Colima,Camarón chico s/cabeza,crustaceos
Colima,Jaiba entera,crustaceos
Chiapas,Camarones botalon,crustaceos
Jalisco,Jaiba en pulpa,crustaceos
Michoacán,Almeja chocolata,moluscos
Michoacán,Ostión sin concha,moluscos
Nayarit,Ostión sin concha,moluscos
Jalisco,Pulpo fresco,moluscos
Tabasco,Camarón Pacotilla,crustaceos
Yucatán,Camarón Macuil,crustaceos
Yucatán,Camarón Pacotilla,crustaceos
Campeche,Mojarra blanca,filetes
Campeche,Pargo,filetes
Sonora,Trucha marina,pescado
Tamaulipas,Gurrubata,pescado
Nayarit,Tiburón sin cabeza,pescado
Nayarit,Pargo rojo,pescado
Baja California Sur,Camarones U15,crustaceos
Baja California Sur,Camarones 16/20,crustaceos
Baja California Sur,Camarones 21/25,crustaceos
Baja California Sur,Camarones 26/30,crustaceos
Campeche,Pulpo c/vísceras,moluscos
Campeche,Camarón c/cabeza mediana,crustaceos
Sonora,Caracol burro,moluscos
Importación,Callo de hacha,moluscos
Sonora,Ancas de rana,moluscos
Sonora,Caracol chico,moluscos
Baja California,Pulpo congelado,moluscos
Importación,Mojarra blanca,filetes
Colima,Camarón grande s/cabeza,crustaceos
Nayarit,Filete de cazón o tiburón,filetes
Tamaulipas,Cintilla,pescado
Sinaloa,Cazón tripa,filetes
Yucatán,Bacoca,pescado
Campeche,Payaso,pescado
Michoacán,Pampano,pescado
Michoacán,Sierra del Golfo,pescado
Sinaloa,Cabrillo,pescado
Importación,Tiburón sin cabeza,pescado
Importación,Camarones botalon,crustaceos
Importación,Camarón coctel,crustaceos
Campeche,Filete de cazón o tiburón,filetes
Tabasco,Curbina,pescado
Tabasco,Huachinango Pacífico,pescado
Colima,Lisa macho,pescado
Nayarit,Abadejo,pescado
Chiapas,Cazón sin cabeza,pescado
Baja California Sur,Bandera,pescado
Sinaloa,Pargo coconaco,pescado
Campeche,Ostión con concha,moluscos
Veracruz,Raya,filetes
Jalisco,Conejo,pescado
Sonora,Vaqueta,pescado
Sonora,Cabrillo,pescado
Nayarit,Cazón tripa,pescado
Sonora,Chano,pescado
Colima,Pargo rojo,pescado
Sinaloa,Cola de langosta,crustaceos
Baja California,Langostino,crustaceos
Sonora,Camarón mediano c/cabeza,crustaceos
Importación,Callo de almeja,moluscos
Tamaulipas,Caracol,moluscos
México,Mojarra rayada,filetes
Sonora,Baqueta,pescado
Sonora,Pierna,pescado
Sonora,Pampano,pescado
Sonora,Bacoca,pescado
Sonora,Angelito,pescado
Chihuahua,Baqueta,pescado
Colima,Mojarra plateada,pescado
Colima,Robalo del pacífico,pescado
Colima,Sierra del Pacífico,pescado
Michoacán,Lenguado chico,pescado
Hidalgo,Camarón coctel,crustaceos
Yucatán,Camarones 16/20,crustaceos
Sonora,Trucha,filetes
Oaxaca,Cazón sin cabeza,pescado
Yucatán,Sierra del Pacífico,pescado
Campeche,Bonito,pescado
Campeche,Cazón sin cabeza,pescado
Nayarit,Camarón s/cabeza coctelero de mar,crustaceos
Sonora,Pulpo fresco,moluscos
Baja California Sur,Cazón tripa,filetes
Baja California,Angelito,filetes
Baja California,Cazón tripa,filetes
Tamaulipas,Lobina,filetes
Importación,Filete de tilapia,filetes
Yucatán,Calamar,filetes
Campeche,Chucumite,filetes
Tabasco,Filete de tilapia,filetes
Jalisco,Filete de tilapia,filetes
Nayarit,Mantarraya,filetes
Tamaulipas,Cazón tripa,pescado
Distrito Federal,Cazón sin cabeza,pescado
Sonora,Marlín,pescado
Sonora,Jurel,pescado
Sinaloa,Sargo,pescado
Nayarit,Pargo blanco,pescado
Nayarit,Atún,pescado
Jalisco,Aleta de raya,pescado
Distrito Federal,Curbina,pescado
Baja California,Camarones U10,crustaceos
Morelos,Mojarra rayada,filetes
Sinaloa,Curbina,filetes
Tamaulipas,Angelito,filetes
Baja California Sur,Almeja campeche,moluscos
Veracruz,Baqueta,pescado
Yucatán,Camarón roca,crustaceos
Sinaloa,Lebrancha,pescado
Nayarit,Jurel,pescado
Sonora,Lobina,filetes
Sinaloa,Pargo,filetes
Tamaulipas,Curbina,filetes
Campeche,Robalo,filetes
Campeche,Sargo,pescado
Campeche,Lisa,filetes
Michoacán,Jaiba entera,crustaceos
Chiapas,Bacoca,pescado
Baja California,Camarón roca,crustaceos
Importación,Mero,pescado
Campeche,Bagre,pescado
Campeche,Ancas de rana,moluscos
Yucatán,Ostión con concha,moluscos
Baja California,Caracol,moluscos
Importación,Camarón mediano c/cabeza,crustaceos
Sinaloa,Camarón c/cabeza mediana,crustaceos
Baja California Sur,Camarón coctel,crustaceos
Chihuahua,Atún,pescado
Veracruz,Almeja gallo,filetes
Campeche,Chopa,pescado
Tamaulipas,Pargo Habanero,pescado
Yucatán,Almeja chirla,moluscos
Baja California,Calamar americano,moluscos
Veracruz,Vaqueta,pescado
Nayarit,Verdillo,pescado
Jalisco,Cazón sin cabeza,pescado
Jalisco,Cazón tripa,pescado
Baja California,Guitarra,pescado
Jalisco,Huachinango grande,pescado
Jalisco,Lenguado chico,pescado
Jalisco,Mojarra plateada,pescado
Jalisco,Pierna,pescado
Baja California,Lenguado chico,pescado
Baja California,Pargo rojo,pescado
Importación,Verdillo,pescado
Colima,Almeja pata de mula,moluscos
Tamaulipas,Ancas de rana,moluscos
Sonora,Almeja pata de mula,moluscos
Baja California,Almeja campeche,moluscos
Colima,Filete de carpa,filetes
Colima,Filete de tilapia,filetes
Baja California,Pargo,filetes
Yucatán,Abadejo,pescado
Sinaloa,Sierra del Golfo,pescado
Jalisco,Lisa macho,pescado
Colima,Robalo chico,pescado
Baja California,Robalo del pacífico,pescado
Baja California,Angelito,pescado
Sonora,Camarón chico s/cabeza,crustaceos
Tabasco,Camarón chico c/cabeza,crustaceos
Veracruz,Lisa del Pacífico,pescado
Oaxaca,Camarón c/cabeza mediana,crustaceos
Tamaulipas,Cherna aleta amarilla,pescado
Veracruz,Chano,pescado
Campeche,Camarones 41/50,crustaceos
Yucatán,Camarones 41/50,crustaceos
Baja California,Robalo chico,pescado
Michoacán,Marlín,pescado
Baja California,Pampano,pescado
Baja California,Langosta entera cocida,crustaceos
Baja California,Lisa del Golfo,pescado
Yucatán,Callo de hacha,moluscos
Chiapas,Filete de carpa,filetes
Yucatán,Camarón c/cabeza mediana,crustaceos
Sonora,Camarón s/cabeza coctelero de mar,crustaceos
Sonora,Camarón mediano s/cabeza,crustaceos
Tamaulipas,Callo de almeja,moluscos
Tamaulipas,Callo de hacha,moluscos
Campeche,Bagre,filetes
Importación,Filete de cazón o tiburón,filetes
Colima,Verdillo,pescado
Oaxaca,Camarón coctel,crustaceos
Oaxaca,Langosta entera cruda,crustaceos
Yucatán,Abulón,moluscos
Jalisco,Ancas de rana,moluscos
Yucatán,Cojinuda,pescado
Campeche,Caracol,filetes
Baja California Sur,Camarón Pacotilla,crustaceos
Baja California Sur,Caracol,moluscos
Baja California Sur,Medregal,filetes
Chiapas,Camarón chico c/cabeza,crustaceos
Oaxaca,Langosta entera cocida,crustaceos
Baja California,Cola de langosta,crustaceos
Baja California,Camarón grande c/cabeza,crustaceos
Oaxaca,Curbina,pescado
Oaxaca,Pargo Huachinango,pescado
Oaxaca,Robalo chico,pescado
Oaxaca,Huachinango Golfo,pescado
Chiapas,Huachinango grande,pescado
Chiapas,Pargo blanco,pescado
Chiapas,Robalo chico,pescado
Baja California,Abadejo,pescado
Guanajuato,Lisa del Pacífico,pescado
Chiapas,Cazón tripa,pescado
Oaxaca,Conejo,pescado
Yucatán,Curbina,pescado
Tlaxcala,Jaiba entera,crustaceos
Baja California,Lenguado grande,pescado
Importación,Lisa del Pacífico,pescado
Baja California Sur,Chano,pescado
Baja California,Mantarraya,pescado
Yucatán,Camarón coctel,crustaceos
Importación,Camarón grande s/cabeza,crustaceos
Baja California Sur,Bonito,pescado
Baja California Sur,Cojinuda,pescado
Baja California Sur,Chopa,pescado
Baja California Sur,Payaso,pescado
Baja California Sur,Peto o Carito,pescado
Aguascalientes,Huachinango Pacífico,pescado
Aguascalientes,Lisa del Golfo,pescado
Baja California,Pargo coconaco,pescado
Baja California,Cabrillo,pescado
Colima,Pargo coconaco,pescado
Oaxaca,Camarones botalon,crustaceos
Baja California,Camarón c/cabeza mediana,crustaceos
Sinaloa,Caracol chico,moluscos
Chiapas,Pulpo congelado,moluscos
Sinaloa,Verdillo,pescado
Baja California Sur,Callo de almeja,pescado
Baja California Sur,Acamaya cruda,crustaceos
Baja California,Camarón s/cabeza coctelero de mar,crustaceos
Zacatecas,Calamar americano,moluscos
Colima,Jurel,pescado
Baja California,Ratón,pescado
Michoacán,Abulón,moluscos
Yucatán,Mojarra blanca,filetes
Colima,Baqueta,pescado
Nayarit,Ratón,pescado
Jalisco,Chano,pescado
Chiapas,Filete de mero,filetes
Chiapas,Filete de huachinango,filetes
Chiapas,Mojarra blanca,filetes
Baja California,Calamar,filetes
Sinaloa,Mantarraya,filetes
Oaxaca,Mantarraya,filetes
Chiapas,Calamar,filetes
Chiapas,Cazón tripa,filetes
Importación,Cola de langosta,crustaceos
Tamaulipas,Bonito,filetes
Tlaxcala,Langosta,crustaceos
Tlaxcala,Langostino,crustaceos
Yucatán,Langosta,crustaceos
Veracruz,Payaso,pescado
Baja California,Peto o Carito,pescado
Tamaulipas,Cazón con cabeza,crustaceos
Campeche,Curbina,crustaceos
Baja California,Langosta entera cruda,crustaceos
Campeche,Baqueta,pescado
Sinaloa,Ostión con concha,moluscos
Sinaloa,Almeja gallo,moluscos
Yucatán,Langostino,crustaceos
Oaxaca,Camarón chico c/cabeza,crustaceos
Chiapas,Langostino,crustaceos
Baja California,Gurrubata,pescado
Sinaloa,Cochito o Cochino,pescado
Oaxaca,Camarón chico s/cabeza,crustaceos
Baja California,Vaqueta,pescado
Sonora,Gurrubata,pescado
Baja California,Cochito o Cochino,pescado
Baja California,Caracol chico,moluscos
Sinaloa,Tiburon c/cabeza,pescado
Yucatán,Camarón grande c/cabeza,crustaceos
Sonora,Mantarraya,pescado
Nayarit,Caracol burro,moluscos
Baja California,Pulpo s/vísceras,moluscos
Veracruz,Curbina,filetes
Veracruz,Medregal,filetes
Veracruz,Robalo,filetes
Veracruz,Bagre,filetes
Veracruz,Pargo,filetes
Michoacán,Jaiba en pulpa,crustaceos
Baja California,Mantarraya,filetes
Importación,Pulpo fresco,moluscos
Veracruz,Cherna aleta amarilla,filetes
Quintana Roo,Rubia o Biajaiba,pescado
Oaxaca,Filete de huachinango,filetes
Oaxaca,Filete de tilapia,filetes
Tabasco,Camarón chico s/cabeza,crustaceos
Yucatán,Sargo,pescado
Tamaulipas,Mantarraya,pescado
Tabasco,Caracol,moluscos
Tabasco,Pulpo congelado,moluscos
Quintana Roo,Pargo Huachinango,pescado
Jalisco,Sierra del Pacífico,pescado
Importación,Ostión con concha,moluscos
Tamaulipas,Abulón,moluscos
Tlaxcala,Ostión sin concha,moluscos
Baja California,Ancas de rana,moluscos
Yucatán,Pargo,filetes
Baja California,Bagre,filetes
Sinaloa,Mojarra blanca,filetes
Nayarit,Calamar,filetes
Michoacán,Cazón tripa,filetes
Veracruz,Chucumite,filetes
Oaxaca,Mojarra Marina,pescado
Baja California,Filete de carpa,filetes
Yucatán,Lenguado grande,pescado
Colima,Huachinango Golfo,pescado
Colima,Lenguado chico,pescado
Tabasco,Huachinango grande,pescado
Nayarit,Lenguado grande,pescado
Nayarit,Guitarra,pescado
Michoacán,Camarón grande c/cabeza,crustaceos
Oaxaca,Camarón Pacotilla,crustaceos
Tamaulipas,Camarón c/cabeza mediana,crustaceos
Yucatán,Calamar americano,moluscos
Nayarit,Almeja chirla,moluscos
Nayarit,Almeja chocolata,moluscos
Yucatán,Huachinango grande,pescado
Campeche,Curbina,pescado
Tamaulipas,Langosta entera cocida,crustaceos
Baja California,Cóndor,pescado
Baja California,Sierra del Golfo,pescado
Yucatán,Camarones 21/25,crustaceos
Yucatán,Camarones 26/30,crustaceos
Importación,Cazón tripa,filetes
Michoacán,Mantarraya,filetes
Baja California,Camarón chico c/cabeza,crustaceos
Colima,Langosta,crustaceos
Veracruz,Cherna aleta prieta,filetes
San Luis Potosí,Camarón chico c/cabeza,crustaceos
Yucatán,Camarones 31/35,crustaceos
Yucatán,Camarones U10,crustaceos
Yucatán,Camarones U15,crustaceos
Baja California Sur,Almeja chocolata,filetes
Sinaloa,Camarón roca,crustaceos
Coahuila,Ostión con concha,moluscos
Coahuila,Pulpo fresco,moluscos
Veracruz,Bacalao,filetes
Veracruz,Mojarra blanca,filetes
Oaxaca,Abadejo,pescado
Baja California,Mojarra blanca,pescado
Nayarit,Cochito o Cochino,pescado
Baja California,Bandera,pescado
Michoacán,Mojarra plateada,pescado
Colima,Calamar gigante,moluscos
Michoacán,Callo de almeja,moluscos
Yucatán,Sardina,pescado
Colima,Mantarraya,pescado
Michoacán,Camarón Macuil,crustaceos
Michoacán,Camarones 21/25,crustaceos
Michoacán,Camarones 31/35,crustaceos
Michoacán,Camarones U10,crustaceos
Michoacán,Camarones U15,crustaceos
Coahuila,Cazón con cabeza,pescado
Coahuila,Cazón sin cabeza,pescado
Coahuila,Lisa del Pacífico,pescado
Coahuila,Sierra del Pacífico,pescado
Veracruz,Constantino,pescado
Michoacán,Robalo del pacífico,pescado
Tamaulipas,Tilapia mediana,pescado
Oaxaca,Cola de langosta,crustaceos
Baja California,Camarón coctel,crustaceos
Baja California Sur,Caracol burro,moluscos
Sinaloa,Pulpo fresco,moluscos
Jalisco,Calamar gigante,moluscos
Guerrero,Atún,pescado
Baja California,Tiburon c/cabeza,pescado
Nayarit,Mantarraya,pescado
Baja California,Payaso,pescado
Guanajuato,Atún,pescado
Nayarit,Lenguado chico,pescado
Sinaloa,Payaso,pescado
Sonora,Ratón,pescado
Chiapas,Pulpo c/vísceras,moluscos
Baja California,Chano,pescado
Yucatán,Gurrubata,pescado
Baja California Sur,Pulpo congelado,moluscos
Colima,Filete de cazón o tiburón,filetes
Importación,Trucha,filetes
México,Calamar,filetes
Veracruz,Calamar,filetes
Michoacán,Lobina,filetes
Importación,Filete de carpa,filetes
Campeche,Robalo chico,pescado
Aguascalientes,Bandera,pescado
Sonora,Tiburon c/cabeza,pescado
Baja California,Besugo,pescado
Michoacán,Pulpo congelado,moluscos
Campeche,Pulpo s/vísceras,moluscos
Colima,Sierra del Golfo,pescado
Aguascalientes,Lenguado grande,pescado
Aguascalientes,Jaiba entera,crustaceos
Importación,Langosta entera cruda,crustaceos
Baja California Sur,Pulpo c/vísceras,moluscos
Michoacán,Plateado,filetes
Tamaulipas,Chacal,crustaceos
Tamaulipas,Sierra del Pacífico,pescado
Baja California,Torito,pescado
Colima,Pampano,pescado
Distrito Federal,Rubia o Biajaiba,pescado
Importación,Cazón con cabeza,pescado
Nayarit,Cazón con cabeza,pescado
Tlaxcala,Jaiba en pulpa,crustaceos
Sonora,Almeja chirla,moluscos
Jalisco,Lisa del Pacífico,pescado
Michoacán,Filete de mero,filetes
Tamaulipas,Bacalao,filetes
Tabasco,Calamar americano,moluscos
Tabasco,Pulpo fresco,moluscos
Importación,Cintilla,pescado
Tabasco,Conejo,pescado
Guanajuato,Mojarra Marina,pescado
Oaxaca,Camarón Macuil,crustaceos
Oaxaca,Camarones U12,crustaceos
Oaxaca,Camarones 16/20,crustaceos
Oaxaca,Camarones U10,crustaceos
Oaxaca,Camarones U15,crustaceos
Colima,Almeja chirla,moluscos
Colima,Almeja chocolata,moluscos
Colima,Callo de hacha,moluscos
Colima,Callo de almeja,moluscos
Oaxaca,Callo de almeja,moluscos
Oaxaca,Calamar americano,moluscos
Oaxaca,Almeja negra,moluscos
Campeche,Cintilla,pescado
Campeche,Caracol chico,moluscos
Oaxaca,Pargo rojo,pescado
Oaxaca,Bandera,pescado
Tabasco,Medregal,pescado
Tabasco,Bonito,pescado
Oaxaca,Huachinango grande,pescado
Oaxaca,Trucha marina,pescado
Baja California,Rubia o Biajaiba,pescado
Guerrero,Bacoca,pescado
Sonora,Rubia o Biajaiba,pescado
Sonora,Camarones 51/60,crustaceos
Yucatán,Conejo,pescado
Oaxaca,Mojarra blanca,pescado
Aguascalientes,Pargo Habanero,pescado
Aguascalientes,Sierra del Golfo,pescado
Sinaloa,Abadejo,pescado
Tabasco,Camarón roca,crustaceos
Oaxaca,Langostino,crustaceos
Baja California,Abulón,moluscos
Oaxaca,Abulón,moluscos
Baja California,Caracol burro,moluscos
Baja California,Camarones 21/25,crustaceos
Baja California,Camarones 51/60,crustaceos
Baja California,Camarones U12,crustaceos
Nayarit,Caracol,moluscos
Oaxaca,Filete de carpa,filetes
Michoacán,Tiburon c/cabeza,pescado
Oaxaca,Calamar,filetes
Campeche,Bacalao,pescado
Tamaulipas,Cola de langosta,crustaceos
Oaxaca,Mojarra plateada,pescado
Oaxaca,Pargo,pescado
Oaxaca,Robalo,pescado
Importación,Pulpo s/vísceras,moluscos
Importación,Pulpo congelado,moluscos
Sonora,Camarón Pacotilla,crustaceos
Importación,Caracol burro,moluscos
Baja California,Almeja negra,moluscos
Distrito Federal,Caracol,moluscos
Distrito Federal,Pulpo fresco,moluscos
Yucatán,Ratón,pescado
Michoacán,Bagre,pescado
Sonora,Ostión sin concha,moluscos
Importación,Ostión sin concha,moluscos
Campeche,Medregal,pescado
Oaxaca,Jurel,pescado
Oaxaca,Abadejo,filetes
Sonora,Cochito o Cochino,pescado
Aguascalientes,Tiburón sin cabeza,pescado
Nayarit,Filete de huachinango,filetes
Nayarit,Filete de mero,filetes
Colima,Tiburon c/cabeza,pescado
Tamaulipas,Marlín,pescado
Michoacán,Cazón con cabeza,moluscos
Importación,Robalo,pescado
Michoacán,Sargo,pescado
Oaxaca,Filete de mero,filetes
Oaxaca,Raya,filetes
Oaxaca,Pargo,filetes
Tabasco,Robalo chico,pescado
Sonora,Atún,pescado
Aguascalientes,Pampano,pescado
Aguascalientes,Pargo Huachinango,pescado
Veracruz,Plateado,filetes
Campeche,Trucha,filetes
Sonora,Lisa macho,pescado
Guerrero,Mantarraya,pescado
Tabasco,Bacalao,pescado
Colima,Bacoca,pescado
Colima,Guitarra,pescado
Baja California,Camarones 41/50,crustaceos
Campeche,Cherna aleta amarilla,pescado
Oaxaca,Mero,pescado
Yucatán,Bacalao,pescado
Baja California Sur,Camarón chico s/cabeza,pescado
Chiapas,Mero,pescado
Importación,Rubia o Biajaiba,pescado
Campeche,Besugo,pescado
Yucatán,Cintilla,pescado
Yucatán,Tenazas de cangrejo,crustaceos
Guerrero,Langostino,crustaceos
Chiapas,Cola de langosta,crustaceos
Chiapas,Langosta entera cocida,crustaceos
Jalisco,Camarón coctel,crustaceos
Chiapas,Pampano,pescado
Guanajuato,Mero,pescado
Coahuila,Huachinango Golfo,pescado
Tabasco,Atún,pescado
Oaxaca,Jaiba en pulpa,crustaceos
Chiapas,Camarones U10,crustaceos
Importación,Camarón c/cabeza mediana,crustaceos
Oaxaca,Camarones 21/25,crustaceos
Chiapas,Calamar gigante,moluscos
Baja California Sur,Cabrillo,moluscos
Importación,Robalo chico,pescado
Importación,Camarones 51/60,crustaceos
Importación,Almeja pata de mula,moluscos
Tamaulipas,Cherna aleta prieta,pescado
Yucatán,Atún,pescado
Veracruz,Verdillo,pescado
Oaxaca,Cazón con cabeza,pescado
Oaxaca,Tiburón sin cabeza,pescado
Oaxaca,Camarones 26/30,crustaceos
Chiapas,Langosta entera cruda,crustaceos
Guerrero,Robalo del pacífico,pescado
Baja California Sur,Bagre,filetes
Veracruz,Callo de hacha,moluscos
Michoacán,Camarón chico c/cabeza,crustaceos
Michoacán,Camarón mediano c/cabeza,crustaceos
Michoacán,Camaron p/bar y bot,crustaceos
Michoacán,Camarón Pacotilla,crustaceos
Chiapas,Camarón chico s/cabeza,crustaceos
Chiapas,Camarón grande s/cabeza,crustaceos
Chiapas,Callo de almeja,moluscos
Zacatecas,Filete de cazón o tiburón,filetes
Michoacán,Calamar,filetes
Importación,Mojarra Marina,pescado
Guerrero,Baqueta,pescado
Guerrero,Robalo chico,pescado
Chiapas,Chopa,pescado
Chiapas,Gurrubata,pescado
Guerrero,Robalo,pescado
Guerrero,Lisa del Golfo,pescado
Yucatán,Filete de carpa,filetes
Sonora,Pargo rojo,pescado
Sonora,Verdillo,pescado
Campeche,Camarón chico c/cabeza,crustaceos
Campeche,Camarón s/cabeza coctelero de mar,crustaceos
Tamaulipas,Tenazas de cangrejo,crustaceos
Campeche,Ronco amarillo,filetes
Tabasco,Trucha,filetes
Baja California,Constantino,pescado
Colima,Pargo blanco,pescado
Sonora,Camarón grande c/cabeza,crustaceos
Sonora,Camarón grande s/cabeza,crustaceos
Sinaloa,Peto o Carito,pescado
Importación,Camarón Pacotilla,crustaceos
Yucatán,Cazón tripa,pescado
Campeche,Huachinango grande,pescado
Yucatán,Bonito,pescado
Tabasco,Tiburon c/cabeza,pescado
Michoacán,Chano,pescado
